Vocab size: 4,096
Model config: {'sequence_len': 2048, 'vocab_size': 4096, 'n_layer': 8, 'n_head': 4, 'n_kv_head': 4, 'n_embd': 512, 'window_pattern': 'L'}
Parameter counts:
  wte                     : 2,097,152
  value_embeds            : 16,777,216
  lm_head                 : 2,097,152
  transformer_matrices    : 20,972,544
  scalars                 : 16
  total                   : 41,944,080
Estimated FLOPs per token: 2.390815e+08
Scaling AdamW LRs by 1/sqrt(512/768) = 1.224745
Time budget: 300s
Gradient accumulation steps: 1

step 00000 (0.0%) | loss: 8.318209 | lrm: 1.00 | dt: 2464ms | tok/sec: 53,195 | mfu: 1.3% | epoch: 1 | remaining: 300s    
step 00001 (0.0%) | loss: 8.231160 | lrm: 1.00 | dt: 242ms | tok/sec: 541,170 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00002 (0.0%) | loss: 7.849988 | lrm: 1.00 | dt: 243ms | tok/sec: 539,636 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00003 (0.0%) | loss: 7.442455 | lrm: 1.00 | dt: 242ms | tok/sec: 540,626 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00004 (0.0%) | loss: 7.087637 | lrm: 1.00 | dt: 243ms | tok/sec: 540,403 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00005 (0.0%) | loss: 6.810007 | lrm: 1.00 | dt: 243ms | tok/sec: 540,233 | mfu: 13.1% | epoch: 1 | remaining: 300s    
step 00006 (0.0%) | loss: 6.582871 | lrm: 1.00 | dt: 243ms | tok/sec: 539,682 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00007 (0.0%) | loss: 6.391219 | lrm: 1.00 | dt: 243ms | tok/sec: 539,616 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00008 (0.0%) | loss: 6.233675 | lrm: 1.00 | dt: 243ms | tok/sec: 539,325 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00009 (0.0%) | loss: 6.104835 | lrm: 1.00 | dt: 243ms | tok/sec: 539,512 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00010 (0.0%) | loss: 5.994543 | lrm: 1.00 | dt: 243ms | tok/sec: 538,689 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00011 (0.0%) | loss: 5.893351 | lrm: 1.00 | dt: 243ms | tok/sec: 538,786 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00012 (0.1%) | loss: 5.806953 | lrm: 1.00 | dt: 243ms | tok/sec: 539,113 | mfu: 13.0% | epoch: 1 | remaining: 300s    
step 00013 (0.2%) | loss: 5.731880 | lrm: 1.00 | dt: 243ms | tok/sec: 538,836 | mfu: 13.0% | epoch: 1 | remaining: 299s    
step 00157 (11.9%) | loss: 3.409735 | lrm: 1.00 | dt: 244ms | tok/sec: 536,529 | mfu: 13.0% | epoch: 1 | remaining: 264s    
step 00158 (11.9%) | loss: 3.408609 | lrm: 1.00 | dt: 244ms | tok/sec: 536,480 | mfu: 13.0% | epoch: 1 | remaining: 264s    
step 00159 (12.0%) | loss: 3.406582 | lrm: 1.00 | dt: 244ms | tok/sec: 536,778 | mfu: 13.0% | epoch: 1 | remaining: 264s    
step 00160 (12.1%) | loss: 3.404055 | lrm: 1.00 | dt: 244ms | tok/sec: 536,688 | mfu: 13.0% | epoch: 1 | remaining: 263s    
step 00161 (12.2%) | loss: 3.400876 | lrm: 1.00 | dt: 244ms | tok/sec: 536,668 | mfu: 13.0% | epoch: 1 | remaining: 263s    
step 00162 (12.3%) | loss: 3.400273 | lrm: 1.00 | dt: 244ms | tok/sec: 536,447 | mfu: 13.0% | epoch: 1 | remaining: 263s    
step 00163 (12.3%) | loss: 3.396393 | lrm: 1.00 | dt: 244ms | tok/sec: 536,682 | mfu: 13.0% | epoch: 1 | remaining: 263s    
step 00164 (12.4%) | loss: 3.390490 | lrm: 1.00 | dt: 244ms | tok/sec: 536,530 | mfu: 13.0% | epoch: 1 | remaining: 262s    
step 00165 (12.5%) | loss: 3.387701 | lrm: 1.00 | dt: 244ms | tok/sec: 536,685 | mfu: 13.0% | epoch: 1 | remaining: 262s    
step 00166 (12.6%) | loss: 3.385249 | lrm: 1.00 | dt: 244ms | tok/sec: 536,222 | mfu: 13.0% | epoch: 1 | remaining: 262s    
step 00167 (12.7%) | loss: 3.379044 | lrm: 1.00 | dt: 244ms | tok/sec: 536,853 | mfu: 13.0% | epoch: 1 | remaining: 262s    
step 00168 (12.8%) | loss: 3.379756 | lrm: 1.00 | dt: 244ms | tok/sec: 536,415 | mfu: 13.0% | epoch: 1 | remaining: 262s    
step 00169 (12.8%) | loss: 3.376740 | lrm: 1.00 | dt: 244ms | tok/sec: 536,314 | mfu: 13.0% | epoch: 1 | remaining: 261s    
step 00170 (12.9%) | loss: 3.376266 | lrm: 1.00 | dt: 245ms | tok/sec: 536,060 | mfu: 13.0% | epoch: 1 | remaining: 261s    
step 00171 (13.0%) | loss: 3.378412 | lrm: 1.00 | dt: 244ms | tok/sec: 536,453 | mfu: 13.0% | epoch: 1 | remaining: 261s    
step 00172 (13.1%) | loss: 3.373348 | lrm: 1.00 | dt: 245ms | tok/sec: 535,805 | mfu: 12.9% | epoch: 1 | remaining: 261s    
step 00173 (13.2%) | loss: 3.373861 | lrm: 1.00 | dt: 244ms | tok/sec: 536,240 | mfu: 13.0% | epoch: 1 | remaining: 260s    
step 00174 (13.2%) | loss: 3.370215 | lrm: 1.00 | dt: 245ms | tok/sec: 535,853 | mfu: 12.9% | epoch: 1 | remaining: 260s    
step 00175 (13.3%) | loss: 3.374374 | lrm: 1.00 | dt: 244ms | tok/sec: 536,338 | mfu: 13.0% | epoch: 1 | remaining: 260s    
step 00176 (13.4%) | loss: 3.370081 | lrm: 1.00 | dt: 244ms | tok/sec: 536,679 | mfu: 13.0% | epoch: 1 | remaining: 260s    
step 00177 (13.5%) | loss: 3.370528 | lrm: 1.00 | dt: 244ms | tok/sec: 536,410 | mfu: 13.0% | epoch: 1 | remaining: 259s    
step 00178 (13.6%) | loss: 3.364798 | lrm: 1.00 | dt: 245ms | tok/sec: 536,058 | mfu: 13.0% | epoch: 1 | remaining: 259s    
step 00179 (13.6%) | loss: 3.353937 | lrm: 1.00 | dt: 244ms | tok/sec: 536,174 | mfu: 13.0% | epoch: 1 | remaining: 259s    
step 00180 (13.7%) | loss: 3.346047 | lrm: 1.00 | dt: 244ms | tok/sec: 536,779 | mfu: 13.0% | epoch: 1 | remaining: 259s    
step 00181 (13.8%) | loss: 3.346994 | lrm: 1.00 | dt: 244ms | tok/sec: 536,461 | mfu: 13.0% | epoch: 1 | remaining: 258s    
step 00182 (13.9%) | loss: 3.345097 | lrm: 1.00 | dt: 245ms | tok/sec: 536,054 | mfu: 13.0% | epoch: 1 | remaining: 258s    
step 00183 (14.0%) | loss: 3.338172 | lrm: 1.00 | dt: 244ms | tok/sec: 536,282 | mfu: 13.0% | epoch: 1 | remaining: 258s    
step 00184 (14.1%) | loss: 3.330354 | lrm: 1.00 | dt: 244ms | tok/sec: 536,815 | mfu: 13.0% | epoch: 1 | remaining: 258s    
step 00185 (14.1%) | loss: 3.323943 | lrm: 1.00 | dt: 244ms | tok/sec: 536,311 | mfu: 13.0% | epoch: 1 | remaining: 257s    
step 00186 (14.2%) | loss: 3.323686 | lrm: 1.00 | dt: 244ms | tok/sec: 536,468 | mfu: 13.0% | epoch: 1 | remaining: 257s    
step 00187 (14.3%) | loss: 3.328922 | lrm: 1.00 | dt: 244ms | tok/sec: 536,735 | mfu: 13.0% | epoch: 1 | remaining: 257s    
step 00188 (14.4%) | loss: 3.323298 | lrm: 1.00 | dt: 244ms | tok/sec: 536,224 | mfu: 13.0% | epoch: 1 | remaining: 257s    
step 00189 (14.5%) | loss: 3.319038 | lrm: 1.00 | dt: 244ms | tok/sec: 536,604 | mfu: 13.0% | epoch: 1 | remaining: 256s    
step 00190 (14.5%) | loss: 3.318190 | lrm: 1.00 | dt: 244ms | tok/sec: 536,848 | mfu: 13.0% | epoch: 1 | remaining: 256s    
step 00191 (14.6%) | loss: 3.316134 | lrm: 1.00 | dt: 244ms | tok/sec: 536,212 | mfu: 13.0% | epoch: 1 | remaining: 256s    
step 00192 (14.7%) | loss: 3.313802 | lrm: 1.00 | dt: 244ms | tok/sec: 536,155 | mfu: 13.0% | epoch: 1 | remaining: 256s    
step 00193 (14.8%) | loss: 3.312565 | lrm: 1.00 | dt: 244ms | tok/sec: 536,754 | mfu: 13.0% | epoch: 1 | remaining: 255s    
step 00194 (14.9%) | loss: 3.310745 | lrm: 1.00 | dt: 244ms | tok/sec: 536,326 | mfu: 13.0% | epoch: 1 | remaining: 255s    
step 00195 (15.0%) | loss: 3.310068 | lrm: 1.00 | dt: 244ms | tok/sec: 536,346 | mfu: 13.0% | epoch: 1 | remaining: 255s    
step 00196 (15.0%) | loss: 3.305661 | lrm: 1.00 | dt: 244ms | tok/sec: 536,273 | mfu: 13.0% | epoch: 1 | remaining: 255s    
step 00197 (15.1%) | loss: 3.297562 | lrm: 1.00 | dt: 244ms | tok/sec: 536,364 | mfu: 13.0% | epoch: 1 | remaining: 254s    
step 00198 (15.2%) | loss: 3.298085 | lrm: 1.00 | dt: 244ms | tok/sec: 536,780 | mfu: 13.0% | epoch: 1 | remaining: 254s    
step 00199 (15.3%) | loss: 3.300771 | lrm: 1.00 | dt: 244ms | tok/sec: 536,525 | mfu: 13.0% | epoch: 1 | remaining: 254s    
step 00200 (15.4%) | loss: 3.294642 | lrm: 1.00 | dt: 244ms | tok/sec: 536,429 | mfu: 13.0% | epoch: 1 | remaining: 254s    
step 00201 (15.4%) | loss: 3.293961 | lrm: 1.00 | dt: 244ms | tok/sec: 536,421 | mfu: 13.0% | epoch: 1 | remaining: 253s    
step 00202 (15.5%) | loss: 3.292722 | lrm: 1.00 | dt: 244ms | tok/sec: 536,475 | mfu: 13.0% | epoch: 1 | remaining: 253s    
step 00203 (15.6%) | loss: 3.287940 | lrm: 1.00 | dt: 244ms | tok/sec: 536,303 | mfu: 13.0% | epoch: 1 | remaining: 253s    
step 00204 (15.7%) | loss: 3.293790 | lrm: 1.00 | dt: 244ms | tok/sec: 536,725 | mfu: 13.0% | epoch: 1 | remaining: 253s    
step 00205 (15.8%) | loss: 3.286182 | lrm: 1.00 | dt: 244ms | tok/sec: 536,498 | mfu: 13.0% | epoch: 1 | remaining: 252s    
step 00206 (15.8%) | loss: 3.280581 | lrm: 1.00 | dt: 244ms | tok/sec: 536,113 | mfu: 13.0% | epoch: 1 | remaining: 252s    
step 00207 (15.9%) | loss: 3.283305 | lrm: 1.00 | dt: 244ms | tok/sec: 536,658 | mfu: 13.0% | epoch: 1 | remaining: 252s    
step 00208 (16.0%) | loss: 3.279301 | lrm: 1.00 | dt: 244ms | tok/sec: 536,693 | mfu: 13.0% | epoch: 1 | remaining: 252s    
step 00209 (16.1%) | loss: 3.279051 | lrm: 1.00 | dt: 244ms | tok/sec: 536,348 | mfu: 13.0% | epoch: 1 | remaining: 251s    
step 00210 (16.2%) | loss: 3.269296 | lrm: 1.00 | dt: 244ms | tok/sec: 536,171 | mfu: 13.0% | epoch: 1 | remaining: 251s    
step 00211 (16.3%) | loss: 3.265253 | lrm: 1.00 | dt: 244ms | tok/sec: 536,145 | mfu: 13.0% | epoch: 1 | remaining: 251s    
step 00212 (16.3%) | loss: 3.253941 | lrm: 1.00 | dt: 244ms | tok/sec: 536,584 | mfu: 13.0% | epoch: 1 | remaining: 251s    
step 00213 (16.4%) | loss: 3.247599 | lrm: 1.00 | dt: 244ms | tok/sec: 536,627 | mfu: 13.0% | epoch: 1 | remaining: 251s    
step 00214 (16.5%) | loss: 3.246276 | lrm: 1.00 | dt: 244ms | tok/sec: 536,584 | mfu: 13.0% | epoch: 1 | remaining: 250s    
step 00215 (16.6%) | loss: 3.244998 | lrm: 1.00 | dt: 245ms | tok/sec: 536,073 | mfu: 13.0% | epoch: 1 | remaining: 250s    
step 00216 (16.7%) | loss: 3.245327 | lrm: 1.00 | dt: 244ms | tok/sec: 536,717 | mfu: 13.0% | epoch: 1 | remaining: 250s    
step 00217 (16.7%) | loss: 3.242969 | lrm: 1.00 | dt: 244ms | tok/sec: 536,409 | mfu: 13.0% | epoch: 1 | remaining: 250s    
step 00218 (16.8%) | loss: 3.244935 | lrm: 1.00 | dt: 244ms | tok/sec: 536,397 | mfu: 13.0% | epoch: 1 | remaining: 249s    
step 00219 (16.9%) | loss: 3.245585 | lrm: 1.00 | dt: 244ms | tok/sec: 536,096 | mfu: 13.0% | epoch: 1 | remaining: 249s    
step 00220 (17.0%) | loss: 3.244543 | lrm: 1.00 | dt: 244ms | tok/sec: 536,561 | mfu: 13.0% | epoch: 1 | remaining: 249s    
step 00221 (17.1%) | loss: 3.244355 | lrm: 1.00 | dt: 244ms | tok/sec: 536,530 | mfu: 13.0% | epoch: 1 | remaining: 249s    
step 00222 (17.1%) | loss: 3.242370 | lrm: 1.00 | dt: 244ms | tok/sec: 536,449 | mfu: 13.0% | epoch: 1 | remaining: 248s    
step 00223 (17.2%) | loss: 3.239383 | lrm: 1.00 | dt: 244ms | tok/sec: 536,261 | mfu: 13.0% | epoch: 1 | remaining: 248s    
step 00224 (17.3%) | loss: 3.243187 | lrm: 1.00 | dt: 244ms | tok/sec: 536,405 | mfu: 13.0% | epoch: 1 | remaining: 248s    
step 00225 (17.4%) | loss: 3.236033 | lrm: 1.00 | dt: 244ms | tok/sec: 537,092 | mfu: 13.0% | epoch: 1 | remaining: 248s    
step 00226 (17.5%) | loss: 3.239454 | lrm: 1.00 | dt: 244ms | tok/sec: 536,684 | mfu: 13.0% | epoch: 1 | remaining: 247s    
step 00227 (17.6%) | loss: 3.228146 | lrm: 1.00 | dt: 244ms | tok/sec: 536,285 | mfu: 13.0% | epoch: 1 | remaining: 247s    
step 00228 (17.6%) | loss: 3.230293 | lrm: 1.00 | dt: 244ms | tok/sec: 536,107 | mfu: 13.0% | epoch: 1 | remaining: 247s    
step 00229 (17.7%) | loss: 3.230673 | lrm: 1.00 | dt: 244ms | tok/sec: 536,441 | mfu: 13.0% | epoch: 1 | remaining: 247s    
step 00230 (17.8%) | loss: 3.229477 | lrm: 1.00 | dt: 244ms | tok/sec: 536,508 | mfu: 13.0% | epoch: 1 | remaining: 246s    
step 00231 (17.9%) | loss: 3.231467 | lrm: 1.00 | dt: 244ms | tok/sec: 536,496 | mfu: 13.0% | epoch: 1 | remaining: 246s    
step 00232 (18.0%) | loss: 3.236352 | lrm: 1.00 | dt: 244ms | tok/sec: 536,495 | mfu: 13.0% | epoch: 1 | remaining: 246s    
step 00233 (18.0%) | loss: 3.228319 | lrm: 1.00 | dt: 244ms | tok/sec: 536,426 | mfu: 13.0% | epoch: 1 | remaining: 246s    
step 00234 (18.1%) | loss: 3.224110 | lrm: 1.00 | dt: 244ms | tok/sec: 536,977 | mfu: 13.0% | epoch: 1 | remaining: 245s    
step 00235 (18.2%) | loss: 3.217367 | lrm: 1.00 | dt: 244ms | tok/sec: 536,506 | mfu: 13.0% | epoch: 1 | remaining: 245s    
step 00236 (18.3%) | loss: 3.217441 | lrm: 1.00 | dt: 245ms | tok/sec: 536,053 | mfu: 13.0% | epoch: 1 | remaining: 245s    
step 00237 (18.4%) | loss: 3.220001 | lrm: 1.00 | dt: 245ms | tok/sec: 536,038 | mfu: 13.0% | epoch: 1 | remaining: 245s    
step 00238 (18.5%) | loss: 3.220656 | lrm: 1.00 | dt: 244ms | tok/sec: 536,563 | mfu: 13.0% | epoch: 1 | remaining: 244s    
step 00239 (18.5%) | loss: 3.211159 | lrm: 1.00 | dt: 244ms | tok/sec: 536,374 | mfu: 13.0% | epoch: 1 | remaining: 244s    
step 00240 (18.6%) | loss: 3.214038 | lrm: 1.00 | dt: 244ms | tok/sec: 536,350 | mfu: 13.0% | epoch: 1 | remaining: 244s    
step 00241 (18.7%) | loss: 3.211823 | lrm: 1.00 | dt: 244ms | tok/sec: 536,385 | mfu: 13.0% | epoch: 1 | remaining: 244s    
step 00242 (18.8%) | loss: 3.224303 | lrm: 1.00 | dt: 244ms | tok/sec: 536,489 | mfu: 13.0% | epoch: 1 | remaining: 243s    
step 00243 (18.9%) | loss: 3.216103 | lrm: 1.00 | dt: 244ms | tok/sec: 536,853 | mfu: 13.0% | epoch: 1 | remaining: 243s    
step 00244 (18.9%) | loss: 3.213092 | lrm: 1.00 | dt: 244ms | tok/sec: 536,432 | mfu: 13.0% | epoch: 1 | remaining: 243s    
step 00245 (19.0%) | loss: 3.217072 | lrm: 1.00 | dt: 244ms | tok/sec: 536,521 | mfu: 13.0% | epoch: 1 | remaining: 243s    
step 00246 (19.1%) | loss: 3.218400 | lrm: 1.00 | dt: 244ms | tok/sec: 536,414 | mfu: 13.0% | epoch: 1 | remaining: 242s    
step 00247 (19.2%) | loss: 3.213967 | lrm: 1.00 | dt: 244ms | tok/sec: 536,463 | mfu: 13.0% | epoch: 1 | remaining: 242s    
step 00248 (19.3%) | loss: 3.209645 | lrm: 1.00 | dt: 244ms | tok/sec: 536,246 | mfu: 13.0% | epoch: 1 | remaining: 242s    
step 00249 (19.3%) | loss: 3.212647 | lrm: 1.00 | dt: 244ms | tok/sec: 536,391 | mfu: 13.0% | epoch: 1 | remaining: 242s    
step 00250 (19.4%) | loss: 3.203081 | lrm: 1.00 | dt: 244ms | tok/sec: 536,417 | mfu: 13.0% | epoch: 1 | remaining: 241s    
step 00251 (19.5%) | loss: 3.203181 | lrm: 1.00 | dt: 244ms | tok/sec: 536,266 | mfu: 13.0% | epoch: 1 | remaining: 241s    
step 00252 (19.6%) | loss: 3.203534 | lrm: 1.00 | dt: 244ms | tok/sec: 536,298 | mfu: 13.0% | epoch: 1 | remaining: 241s    
step 00253 (19.7%) | loss: 3.204404 | lrm: 1.00 | dt: 244ms | tok/sec: 536,323 | mfu: 13.0% | epoch: 1 | remaining: 241s    
step 00254 (19.8%) | loss: 3.203141 | lrm: 1.00 | dt: 244ms | tok/sec: 536,303 | mfu: 13.0% | epoch: 1 | remaining: 240s    
step 00255 (19.8%) | loss: 3.199997 | lrm: 1.00 | dt: 244ms | tok/sec: 536,267 | mfu: 13.0% | epoch: 1 | remaining: 240s    
step 00256 (19.9%) | loss: 3.200319 | lrm: 1.00 | dt: 244ms | tok/sec: 536,325 | mfu: 13.0% | epoch: 1 | remaining: 240s    
step 00257 (20.0%) | loss: 3.198923 | lrm: 1.00 | dt: 244ms | tok/sec: 536,210 | mfu: 13.0% | epoch: 1 | remaining: 240s    
step 00258 (20.1%) | loss: 3.203505 | lrm: 1.00 | dt: 244ms | tok/sec: 536,475 | mfu: 13.0% | epoch: 1 | remaining: 240s    
step 00259 (20.2%) | loss: 3.193453 | lrm: 1.00 | dt: 244ms | tok/sec: 536,126 | mfu: 13.0% | epoch: 1 | remaining: 239s    
step 00260 (20.2%) | loss: 3.191644 | lrm: 1.00 | dt: 244ms | tok/sec: 536,354 | mfu: 13.0% | epoch: 1 | remaining: 239s    
step 00261 (20.3%) | loss: 3.186820 | lrm: 1.00 | dt: 244ms | tok/sec: 536,621 | mfu: 13.0% | epoch: 1 | remaining: 239s    
step 00262 (20.4%) | loss: 3.184345 | lrm: 1.00 | dt: 244ms | tok/sec: 536,643 | mfu: 13.0% | epoch: 1 | remaining: 239s    
step 00263 (20.5%) | loss: 3.188164 | lrm: 1.00 | dt: 244ms | tok/sec: 536,577 | mfu: 13.0% | epoch: 1 | remaining: 238s    
step 00264 (20.6%) | loss: 3.187737 | lrm: 1.00 | dt: 245ms | tok/sec: 535,987 | mfu: 13.0% | epoch: 1 | remaining: 238s    
step 00265 (20.7%) | loss: 3.189145 | lrm: 1.00 | dt: 244ms | tok/sec: 536,702 | mfu: 13.0% | epoch: 1 | remaining: 238s    
step 00266 (20.7%) | loss: 3.193978 | lrm: 1.00 | dt: 244ms | tok/sec: 536,783 | mfu: 13.0% | epoch: 1 | remaining: 238s    
step 00267 (20.8%) | loss: 3.189588 | lrm: 1.00 | dt: 244ms | tok/sec: 536,558 | mfu: 13.0% | epoch: 1 | remaining: 237s    
step 00268 (20.9%) | loss: 3.190694 | lrm: 1.00 | dt: 245ms | tok/sec: 535,822 | mfu: 12.9% | epoch: 1 | remaining: 237s    
step 00269 (21.0%) | loss: 3.189834 | lrm: 1.00 | dt: 244ms | tok/sec: 536,330 | mfu: 13.0% | epoch: 1 | remaining: 237s    
step 00270 (21.1%) | loss: 3.188763 | lrm: 1.00 | dt: 244ms | tok/sec: 536,355 | mfu: 13.0% | epoch: 1 | remaining: 237s    
step 00271 (21.1%) | loss: 3.183805 | lrm: 1.00 | dt: 244ms | tok/sec: 536,604 | mfu: 13.0% | epoch: 1 | remaining: 236s    
step 00272 (21.2%) | loss: 3.186466 | lrm: 1.00 | dt: 244ms | tok/sec: 536,164 | mfu: 13.0% | epoch: 1 | remaining: 236s    
step 00273 (21.3%) | loss: 3.182571 | lrm: 1.00 | dt: 244ms | tok/sec: 536,228 | mfu: 13.0% | epoch: 1 | remaining: 236s    
step 00274 (21.4%) | loss: 3.190080 | lrm: 1.00 | dt: 244ms | tok/sec: 536,347 | mfu: 13.0% | epoch: 1 | remaining: 236s    
step 00275 (21.5%) | loss: 3.184441 | lrm: 1.00 | dt: 244ms | tok/sec: 536,237 | mfu: 13.0% | epoch: 1 | remaining: 235s    
step 00276 (21.5%) | loss: 3.182012 | lrm: 1.00 | dt: 244ms | tok/sec: 536,190 | mfu: 13.0% | epoch: 1 | remaining: 235s    
step 00277 (21.6%) | loss: 3.184237 | lrm: 1.00 | dt: 244ms | tok/sec: 536,284 | mfu: 13.0% | epoch: 1 | remaining: 235s    
step 00278 (21.7%) | loss: 3.180264 | lrm: 1.00 | dt: 244ms | tok/sec: 536,468 | mfu: 13.0% | epoch: 1 | remaining: 235s    
step 00279 (21.8%) | loss: 3.184294 | lrm: 1.00 | dt: 244ms | tok/sec: 536,392 | mfu: 13.0% | epoch: 1 | remaining: 234s    
step 00280 (21.9%) | loss: 3.179875 | lrm: 1.00 | dt: 244ms | tok/sec: 536,675 | mfu: 13.0% | epoch: 1 | remaining: 234s    
step 00281 (22.0%) | loss: 3.176659 | lrm: 1.00 | dt: 244ms | tok/sec: 536,394 | mfu: 13.0% | epoch: 1 | remaining: 234s    
step 00282 (22.0%) | loss: 3.176206 | lrm: 1.00 | dt: 244ms | tok/sec: 536,178 | mfu: 13.0% | epoch: 1 | remaining: 234s    
step 00283 (22.1%) | loss: 3.172155 | lrm: 1.00 | dt: 244ms | tok/sec: 536,738 | mfu: 13.0% | epoch: 1 | remaining: 233s    
step 00284 (22.2%) | loss: 3.176295 | lrm: 1.00 | dt: 244ms | tok/sec: 536,530 | mfu: 13.0% | epoch: 1 | remaining: 233s    
step 00285 (22.3%) | loss: 3.169113 | lrm: 1.00 | dt: 244ms | tok/sec: 536,122 | mfu: 13.0% | epoch: 1 | remaining: 233s    
step 00286 (22.4%) | loss: 3.165042 | lrm: 1.00 | dt: 244ms | tok/sec: 536,314 | mfu: 13.0% | epoch: 1 | remaining: 233s    
step 00287 (22.4%) | loss: 3.159283 | lrm: 1.00 | dt: 244ms | tok/sec: 536,322 | mfu: 13.0% | epoch: 1 | remaining: 232s    
step 00288 (22.5%) | loss: 3.167752 | lrm: 1.00 | dt: 244ms | tok/sec: 536,533 | mfu: 13.0% | epoch: 1 | remaining: 232s    
step 00289 (22.6%) | loss: 3.165847 | lrm: 1.00 | dt: 244ms | tok/sec: 536,248 | mfu: 13.0% | epoch: 1 | remaining: 232s    
step 00290 (22.7%) | loss: 3.162154 | lrm: 1.00 | dt: 244ms | tok/sec: 536,463 | mfu: 13.0% | epoch: 1 | remaining: 232s    
step 00291 (22.8%) | loss: 3.153625 | lrm: 1.00 | dt: 244ms | tok/sec: 536,187 | mfu: 13.0% | epoch: 1 | remaining: 231s    
step 00292 (22.9%) | loss: 3.146598 | lrm: 1.00 | dt: 244ms | tok/sec: 536,683 | mfu: 13.0% | epoch: 1 | remaining: 231s    
step 00293 (22.9%) | loss: 3.140153 | lrm: 1.00 | dt: 244ms | tok/sec: 536,325 | mfu: 13.0% | epoch: 1 | remaining: 231s    
step 00294 (23.0%) | loss: 3.143656 | lrm: 1.00 | dt: 244ms | tok/sec: 536,278 | mfu: 13.0% | epoch: 1 | remaining: 231s    
step 00295 (23.1%) | loss: 3.152831 | lrm: 1.00 | dt: 244ms | tok/sec: 536,372 | mfu: 13.0% | epoch: 1 | remaining: 230s    
step 00296 (23.2%) | loss: 3.155339 | lrm: 1.00 | dt: 244ms | tok/sec: 536,461 | mfu: 13.0% | epoch: 1 | remaining: 230s    
step 00297 (23.3%) | loss: 3.154603 | lrm: 1.00 | dt: 244ms | tok/sec: 536,274 | mfu: 13.0% | epoch: 1 | remaining: 230s    
step 00298 (23.3%) | loss: 3.154806 | lrm: 1.00 | dt: 244ms | tok/sec: 536,670 | mfu: 13.0% | epoch: 1 | remaining: 230s    
step 00299 (23.4%) | loss: 3.154874 | lrm: 1.00 | dt: 244ms | tok/sec: 536,250 | mfu: 13.0% | epoch: 1 | remaining: 229s    
step 00300 (23.5%) | loss: 3.152704 | lrm: 1.00 | dt: 244ms | tok/sec: 536,466 | mfu: 13.0% | epoch: 1 | remaining: 229s    
step 00301 (23.6%) | loss: 3.154256 | lrm: 1.00 | dt: 244ms | tok/sec: 536,661 | mfu: 13.0% | epoch: 1 | remaining: 229s    
step 00302 (23.7%) | loss: 3.147272 | lrm: 1.00 | dt: 244ms | tok/sec: 536,588 | mfu: 13.0% | epoch: 1 | remaining: 229s    
step 00303 (23.7%) | loss: 3.146747 | lrm: 1.00 | dt: 244ms | tok/sec: 536,401 | mfu: 13.0% | epoch: 1 | remaining: 229s    
step 00304 (23.8%) | loss: 3.149223 | lrm: 1.00 | dt: 244ms | tok/sec: 536,294 | mfu: 13.0% | epoch: 1 | remaining: 228s    
step 00305 (23.9%) | loss: 3.146958 | lrm: 1.00 | dt: 244ms | tok/sec: 536,378 | mfu: 13.0% | epoch: 1 | remaining: 228s    
step 00306 (24.0%) | loss: 3.149605 | lrm: 1.00 | dt: 244ms | tok/sec: 536,595 | mfu: 13.0% | epoch: 1 | remaining: 228s    
step 00307 (24.1%) | loss: 3.153308 | lrm: 1.00 | dt: 244ms | tok/sec: 536,554 | mfu: 13.0% | epoch: 1 | remaining: 228s    
step 00308 (24.2%) | loss: 3.160946 | lrm: 1.00 | dt: 244ms | tok/sec: 536,206 | mfu: 13.0% | epoch: 1 | remaining: 227s    
step 00309 (24.2%) | loss: 3.153643 | lrm: 1.00 | dt: 244ms | tok/sec: 536,123 | mfu: 13.0% | epoch: 1 | remaining: 227s    
step 00310 (24.3%) | loss: 3.158526 | lrm: 1.00 | dt: 244ms | tok/sec: 536,468 | mfu: 13.0% | epoch: 1 | remaining: 227s    
step 00311 (24.4%) | loss: 3.155927 | lrm: 1.00 | dt: 244ms | tok/sec: 536,629 | mfu: 13.0% | epoch: 1 | remaining: 227s    
step 00312 (24.5%) | loss: 3.162774 | lrm: 1.00 | dt: 244ms | tok/sec: 536,664 | mfu: 13.0% | epoch: 1 | remaining: 226s    
step 00313 (24.6%) | loss: 3.147706 | lrm: 1.00 | dt: 245ms | tok/sec: 536,006 | mfu: 13.0% | epoch: 1 | remaining: 226s    
step 00314 (24.6%) | loss: 3.147541 | lrm: 1.00 | dt: 244ms | tok/sec: 536,579 | mfu: 13.0% | epoch: 1 | remaining: 226s    
step 00315 (24.7%) | loss: 3.149411 | lrm: 1.00 | dt: 244ms | tok/sec: 536,739 | mfu: 13.0% | epoch: 1 | remaining: 226s    
